
rojo,0,marca1," "
verde,0,marca1," "
verde,1700.5,marca2," "
rojo,0,marca1," "
verde,0,marca1," "
verde,1700.5,marca2," "
rojo,0,marca1," "
verde,0,marca1," "
verde,1700.5,marca2," "
rojo,0,marca1," "
verde,0,marca1," "
verde,1700.5,marca2," "
rojo,0,marca1," "
verde,0,marca1," "
verde,1700.5,marca2," "
rojo,0,marca1," "
verde,0,marca1," "
verde,1700.5,marca2," "
rojo,0,marca1," "
verde,0,marca1," "
verde,1700.5,marca2," "
rojo,0,marca1," "
verde,0,marca1," "
verde,1700.5,marca2," "
rojo,0,marca1," "
verde,0,marca1," "
verde,1700.5,marca2," "
rojo,0,marca1," "
verde,0,marca1," "
verde,1700.5,marca2," "
rojo,0,marca1," "
verde,0,marca1," "
verde,1700.5,marca2," "
rojo,0,marca1," "
verde,0,marca1," "
verde,1700.5,marca2," "
rojo,0,marca1," "
verde,0,marca1," "
verde,1700.5,marca2," "
rojo,0,marca1," "
verde,0,marca1," "
verde,1700.5,marca2," "
rojo,0,marca1," "
verde,0,marca1," "
verde,1700.5,marca2," "
rojo,0,marca1," "
verde,0,marca1," "
verde,1700.5,marca2," "
rojo,0,marca1," "
verde,0,marca1," "
verde,1700.5,marca2," "
rojo,0,marca1," "
verde,0,marca1," "
verde,1700.5,marca2," "
rojo,0,marca1," "
verde,0,marca1," "
verde,1700.5,marca2," "
rojo,0,marca1," "
verde,0,marca1," "
verde,1700.5,marca2," "
rojo,0,marca1," "
verde,0,marca1," "
verde,1700.5,marca2," "
rojo,0,marca1," "
verde,0,marca1," "
verde,1700.5,marca2," "
rojo,0,marca1," "
verde,0,marca1," "
verde,1700.5,marca2," "
rojo,0,marca1," "
verde,0,marca1," "
verde,1700.5,marca2," "
